epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.909,1.21883,9.19308,0.65781,1.04171,1.42443,0.99631,0.895,0.943,0.72352,0.01827,0.03294,0.00123,0.00039,0.97201,7.85707,0.47874,0.7642,1.08046,0.000659574,0.000659574,0.000659574
2,69.1519,0.90171,6.79755,0.53635,0.67162,1.14909,0.99712,0.87,0.92471,0.78291,0.03482,0.03,0.00365,0.00063,0.69594,6.53254,0.36733,0.75093,0.9249,0.00131311,0.00131311,0.00131311
3,100.33,0.87879,5.93221,0.49759,0.65571,1.12482,0.96089,0.85998,0.92998,0.78257,0.75046,0.625,0.60213,0.14929,0.8148,5.08868,0.38385,0.72509,0.95571,0.00195345,0.00195345,0.00195345
4,131.251,0.86057,5.64836,0.46308,0.65088,1.11493,0.97375,0.92739,0.96464,0.80718,0.68905,0.62,0.45714,0.09317,0.70997,4.67767,0.33067,0.61038,0.9362,0.0019406,0.0019406,0.0019406
5,163.532,0.85238,5.48431,0.43163,0.66013,1.11923,0.96266,0.945,0.97529,0.78492,0.80382,0.65,0.53615,0.12888,0.78558,4.61836,0.32364,0.57179,0.9802,0.0019208,0.0019208,0.0019208
6,194.027,0.79341,4.99671,0.38989,0.60825,1.08665,0.97303,0.90184,0.96823,0.825,0.81261,0.655,0.59657,0.13439,0.66967,4.44563,0.29438,0.54262,0.93039,0.001901,0.001901,0.001901
7,226.37,0.77539,4.99527,0.36337,0.59266,1.0767,0.94746,0.91,0.94859,0.79171,0.89672,0.71,0.73514,0.18197,0.7248,4.27902,0.27671,0.52279,0.94158,0.0018812,0.0018812,0.0018812
8,256.447,0.74789,4.68045,0.34118,0.56647,1.06035,0.98929,0.9,0.9591,0.8222,0.91053,0.745,0.76664,0.20579,0.63243,4.17608,0.25016,0.47721,0.87449,0.0018614,0.0018614,0.0018614
9,287.294,0.76958,4.53809,0.32206,0.57883,1.06493,0.98915,0.915,0.94194,0.82128,0.88066,0.73794,0.73689,0.20676,0.64008,3.94451,0.23969,0.60493,0.91935,0.0018416,0.0018416,0.0018416
10,321.489,0.71864,4.25511,0.31334,0.5365,1.04493,0.98154,0.93,0.95509,0.82421,0.87746,0.75188,0.75565,0.25244,0.64531,4.04661,0.23381,0.43527,0.91349,0.0018218,0.0018218,0.0018218
11,352.144,0.69214,4.09581,0.30107,0.50544,1.02269,0.92254,0.965,0.9716,0.82434,0.96344,0.79061,0.82361,0.26463,0.65924,3.80619,0.22417,0.51881,0.88899,0.001802,0.001802,0.001802
12,382.453,0.66177,4.03335,0.28587,0.49774,1.00633,0.99241,0.935,0.98418,0.85534,0.97486,0.79,0.85076,0.27622,0.5888,3.6629,0.21467,0.45536,0.87285,0.0017822,0.0017822,0.0017822
13,412.677,0.67698,3.92039,0.27475,0.50757,1.01028,0.99155,0.915,0.96162,0.86436,0.96609,0.84,0.8866,0.32447,0.53844,3.57378,0.20842,0.40992,0.84826,0.0017624,0.0017624,0.0017624
14,444.593,0.64694,3.80711,0.28038,0.47843,1.00332,0.97545,0.96,0.98368,0.87273,0.90465,0.85387,0.86711,0.2983,0.53508,3.52693,0.21102,0.38091,0.86362,0.0017426,0.0017426,0.0017426
15,475.224,0.6524,3.75941,0.26492,0.49165,1.00386,0.97897,0.93109,0.96803,0.8526,0.90572,0.85,0.87211,0.36794,0.575,3.09906,0.20252,0.46088,0.86294,0.0017228,0.0017228,0.0017228
16,506.256,0.62924,3.58756,0.27161,0.47125,0.98273,0.99953,0.935,0.98623,0.87307,0.92419,0.865,0.8963,0.35786,0.52966,3.21438,0.19927,0.3619,0.84194,0.001703,0.001703,0.001703
17,536.329,0.6118,3.31715,0.26389,0.46583,0.98136,0.99831,0.92,0.9583,0.8598,0.93076,0.87379,0.88109,0.36319,0.51623,2.97863,0.20233,0.40388,0.85391,0.0016832,0.0016832,0.0016832
18,566.508,0.62398,3.0604,0.25518,0.46163,0.98988,0.99802,0.93,0.97686,0.87533,0.97671,0.83863,0.90273,0.43358,0.53545,2.64899,0.19908,0.38205,0.84053,0.0016634,0.0016634,0.0016634
19,596.644,0.62045,3.06652,0.24646,0.4725,0.98328,0.99316,0.94,0.97796,0.85976,0.95782,0.90822,0.92156,0.44344,0.55088,2.36203,0.20428,0.39353,0.82915,0.0016436,0.0016436,0.0016436
20,628.493,0.60471,2.8703,0.25035,0.44568,0.97054,0.99942,0.935,0.98404,0.88325,0.92547,0.87,0.89684,0.44074,0.52951,2.4707,0.19424,0.36396,0.82478,0.0016238,0.0016238,0.0016238
21,658.713,0.61329,2.98201,0.2425,0.46125,0.98929,0.96832,0.91684,0.97633,0.89231,0.92925,0.84,0.86663,0.44598,0.50153,2.54516,0.19809,0.39439,0.84076,0.001604,0.001604,0.001604
22,689.917,0.58835,2.78903,0.24164,0.43722,0.96828,0.98933,0.92749,0.98148,0.87135,0.89212,0.82696,0.83963,0.40975,0.56936,2.54421,0.20449,0.36514,0.84519,0.0015842,0.0015842,0.0015842
